SampleID,SubjectID,TaxonLabel,Proportion
BM.Day2.icex2d,Subject 1,Actinobacteria Actinomyces,0.03988677779216695
BM.Day2.icex2d,Subject 1,Actinobacteria Rothia,0.029415573603685272
BM.Day2.icex2d,Subject 1,Bacteroidetes Porphyromonas,0.02232993543374096
BM.Day2.icex2d,Subject 1,Bacteroidetes Prevotella,0.01946237951640057
BM.Day2.icex2d,Subject 1,Firmicutes Gemellaceae,0.06954285608569367
BM.Day2.icex2d,Subject 1,Firmicutes Granulicatella,0.017297837307827503
BM.Day2.icex2d,Subject 1,Firmicutes Streptococcus,0.43892105896064976
BM.Day2.icex2d,Subject 1,Firmicutes Veillonella,0.07611048415444101
BM.Day2.icex2d,Subject 1,Fusobacteria Fusobacterium,0.03267163709692339
BM.Day2.icex2d,Subject 1,Fusobacteria Leptotrichia,0.03657521321665772
BM.Day2.icex2d,Subject 1,Proteobacteria Haemophilus,0.0030895602464248054
BM.Day2.icex2d,Subject 1,Proteobacteria Neisseria,0.049266460695983574
BM.Day2.icex2d,Subject 1,Other,0.16543022588940484
BM.Day3.4x1d,Subject 1,Actinobacteria Actinomyces,0.0011460588310199923
BM.Day3.4x1d,Subject 1,Actinobacteria Rothia,0.0020056029542849865
BM.Day3.4x1d,Subject 1,Bacteroidetes Porphyromonas,0.012829491913918249
BM.Day3.4x1d,Subject 1,Bacteroidetes Prevotella,0.006080478797911626
BM.Day3.4x1d,Subject 1,Firmicutes Gemellaceae,0.16239016936202724
BM.Day3.4x1d,Subject 1,Firmicutes Granulicatella,0.01295683178403158
BM.Day3.4x1d,Subject 1,Firmicutes Streptococcus,0.75095504902585
BM.Day3.4x1d,Subject 1,Firmicutes Veillonella,0.004074875843626639
BM.Day3.4x1d,Subject 1,Fusobacteria Fusobacterium,0.007099197758818286
BM.Day3.4x1d,Subject 1,Fusobacteria Leptotrichia,0.004074875843626639
BM.Day3.4x1d,Subject 1,Proteobacteria Haemophilus,0.0014325735387749905
BM.Day3.4x1d,Subject 1,Proteobacteria Neisseria,0.012224627530879918
BM.Day3.4x1d,Subject 1,Other,0.02273016681522985
BM.Day3.80x7d,Subject 1,Actinobacteria Actinomyces,0.003250844211481276
BM.Day3.80x7d,Subject 1,Actinobacteria Rothia,0.00856811652638476
BM.Day3.80x7d,Subject 1,Bacteroidetes Porphyromonas,0.03712010483342573
BM.Day3.80x7d,Subject 1,Bacteroidetes Prevotella,0.020664281034222066
BM.Day3.80x7d,Subject 1,Firmicutes Gemellaceae,0.13857668464291115
BM.Day3.80x7d,Subject 1,Firmicutes Granulicatella,0.016077818658333753
BM.Day3.80x7d,Subject 1,Firmicutes Streptococcus,0.5919560506022882
BM.Day3.80x7d,Subject 1,Firmicutes Veillonella,0.01695983065369689
BM.Day3.80x7d,Subject 1,Fusobacteria Fusobacterium,0.01648102414192833
BM.Day3.80x7d,Subject 1,Fusobacteria Leptotrichia,0.01360818507131697
BM.Day3.80x7d,Subject 1,Proteobacteria Haemophilus,0.008442114812761454
BM.Day3.80x7d,Subject 1,Proteobacteria Neisseria,0.03462527090368429
BM.Day3.80x7d,Subject 1,Other,0.09366967390756514
BM.Day8.RTx2d,Subject 1,Actinobacteria Actinomyces,0.015600038895911762
BM.Day8.RTx2d,Subject 1,Actinobacteria Rothia,0.011432619778571131
BM.Day8.RTx2d,Subject 1,Bacteroidetes Porphyromonas,0.011946601469709809
BM.Day8.RTx2d,Subject 1,Bacteroidetes Prevotella,0.015488907719449345
BM.Day8.RTx2d,Subject 1,Firmicutes Gemellaceae,0.11049217219775793
BM.Day8.RTx2d,Subject 1,Firmicutes Granulicatella,0.020420353674969093
BM.Day8.RTx2d,Subject 1,Firmicutes Streptococcus,0.6818175503910429
BM.Day8.RTx2d,Subject 1,Firmicutes Veillonella,0.02490727492463917
BM.Day8.RTx2d,Subject 1,Fusobacteria Fusobacterium,0.013294066984316613
BM.Day8.RTx2d,Subject 1,Fusobacteria Leptotrichia,0.010126828455137734
BM.Day8.RTx2d,Subject 1,Proteobacteria Haemophilus,0.007973661911178407
BM.Day8.RTx2d,Subject 1,Proteobacteria Neisseria,0.013655243307819467
BM.Day8.RTx2d,Subject 1,Other,0.06284468028949672
JK.Day1.4x3d,Subject 2,Actinobacteria Actinomyces,0.03708111600387643
JK.Day1.4x3d,Subject 2,Actinobacteria Rothia,0.31001241137766294
JK.Day1.4x3d,Subject 2,Bacteroidetes Porphyromonas,1.7001887209480252e-5
JK.Day1.4x3d,Subject 2,Bacteroidetes Prevotella,0.054202016423823045
JK.Day1.4x3d,Subject 2,Firmicutes Gemellaceae,0.0036044000884098135
JK.Day1.4x3d,Subject 2,Firmicutes Granulicatella,0.07836169814849449
JK.Day1.4x3d,Subject 2,Firmicutes Streptococcus,0.2762806671540541
JK.Day1.4x3d,Subject 2,Firmicutes Veillonella,0.12363772378734039
JK.Day1.4x3d,Subject 2,Fusobacteria Fusobacterium,6.970773755886903e-4
JK.Day1.4x3d,Subject 2,Fusobacteria Leptotrichia,0.0010541170069877756
JK.Day1.4x3d,Subject 2,Proteobacteria Haemophilus,0.0827311831613309
JK.Day1.4x3d,Subject 2,Proteobacteria Neisseria,0
JK.Day1.4x3d,Subject 2,Other,0.03232058758522196
JK.Day1.80x9d,Subject 2,Actinobacteria Actinomyces,0.03124047546479732
JK.Day1.80x9d,Subject 2,Actinobacteria Rothia,0.22155338819465611
JK.Day1.80x9d,Subject 2,Bacteroidetes Porphyromonas,5.079752108097125e-5
JK.Day1.80x9d,Subject 2,Bacteroidetes Prevotella,0.05823935791933354
JK.Day1.80x9d,Subject 2,Firmicutes Gemellaceae,8.889566189169969e-4
JK.Day1.80x9d,Subject 2,Firmicutes Granulicatella,0.05872193436960276
JK.Day1.80x9d,Subject 2,Firmicutes Streptococcus,0.30092451488367367
JK.Day1.80x9d,Subject 2,Firmicutes Veillonella,0.17728334857258965
JK.Day1.80x9d,Subject 2,Fusobacteria Fusobacterium,5.079752108097125e-4
JK.Day1.80x9d,Subject 2,Fusobacteria Leptotrichia,0.0011683429848623388
JK.Day1.80x9d,Subject 2,Proteobacteria Haemophilus,0.1206695113278472
JK.Day1.80x9d,Subject 2,Proteobacteria Neisseria,0
JK.Day1.80x9d,Subject 2,Other,0.028751396931829726
JK.Day1.RTx3d,Subject 2,Actinobacteria Actinomyces,0.04324075964876455
JK.Day1.RTx3d,Subject 2,Actinobacteria Rothia,0.1830074535429855
JK.Day1.RTx3d,Subject 2,Bacteroidetes Porphyromonas,5.1051664284255664e-5
JK.Day1.RTx3d,Subject 2,Bacteroidetes Prevotella,0.03702521952215642
JK.Day1.RTx3d,Subject 2,Firmicutes Gemellaceae,0.001863385746375332
JK.Day1.RTx3d,Subject 2,Firmicutes Granulicatella,0.09262048192771084
JK.Day1.RTx3d,Subject 2,Firmicutes Streptococcus,0.3738258117214621
JK.Day1.RTx3d,Subject 2,Firmicutes Veillonella,0.16445017357565855
JK.Day1.RTx3d,Subject 2,Fusobacteria Fusobacterium,1.2762916071063916e-5
JK.Day1.RTx3d,Subject 2,Fusobacteria Leptotrichia,2.6802123749234227e-4
JK.Day1.RTx3d,Subject 2,Proteobacteria Haemophilus,0.09009342454564019
JK.Day1.RTx3d,Subject 2,Proteobacteria Neisseria,0
JK.Day1.RTx3d,Subject 2,Other,0.013541453951398816
JK.Day10.Fresh,Subject 2,Actinobacteria Actinomyces,0.06674941387394842
JK.Day10.Fresh,Subject 2,Actinobacteria Rothia,0.20466142601020548
JK.Day10.Fresh,Subject 2,Bacteroidetes Porphyromonas,0
JK.Day10.Fresh,Subject 2,Bacteroidetes Prevotella,0.025099986208798785
JK.Day10.Fresh,Subject 2,Firmicutes Gemellaceae,0.0011032960970900566
JK.Day10.Fresh,Subject 2,Firmicutes Granulicatella,0.02951317059715901
JK.Day10.Fresh,Subject 2,Firmicutes Streptococcus,0.5039304923458833
JK.Day10.Fresh,Subject 2,Firmicutes Veillonella,0.09143566404633843
JK.Day10.Fresh,Subject 2,Fusobacteria Fusobacterium,0.0027582402427251415
JK.Day10.Fresh,Subject 2,Fusobacteria Leptotrichia,0.0027582402427251415
JK.Day10.Fresh,Subject 2,Proteobacteria Haemophilus,0.046338436077782375
JK.Day10.Fresh,Subject 2,Proteobacteria Neisseria,0
JK.Day10.Fresh,Subject 2,Other,0.025651634257343816
JK.Day2.4x2d,Subject 2,Actinobacteria Actinomyces,0.0356129080451184
JK.Day2.4x2d,Subject 2,Actinobacteria Rothia,0.27504295211772617
JK.Day2.4x2d,Subject 2,Bacteroidetes Porphyromonas,1.120490027638754e-4
JK.Day2.4x2d,Subject 2,Bacteroidetes Prevotella,0.00535967729887204
JK.Day2.4x2d,Subject 2,Firmicutes Gemellaceae,3.921715096735639e-4
JK.Day2.4x2d,Subject 2,Firmicutes Granulicatella,0.03510868753268096
JK.Day2.4x2d,Subject 2,Firmicutes Streptococcus,0.506293418988571
JK.Day2.4x2d,Subject 2,Firmicutes Veillonella,0.045510569955927394
JK.Day2.4x2d,Subject 2,Fusobacteria Fusobacterium,0.0010084410248748785
JK.Day2.4x2d,Subject 2,Fusobacteria Leptotrichia,0.003492193919474117
JK.Day2.4x2d,Subject 2,Proteobacteria Haemophilus,0.06879808769701949
JK.Day2.4x2d,Subject 2,Proteobacteria Neisseria,0
JK.Day2.4x2d,Subject 2,Other,0.023268842907298127
JK.Day2.icex1d,Subject 2,Actinobacteria Actinomyces,0.027056698657789424
JK.Day2.icex1d,Subject 2,Actinobacteria Rothia,0.29156780111201613
JK.Day2.icex1d,Subject 2,Bacteroidetes Porphyromonas,1.4165810815596557e-4
JK.Day2.icex1d,Subject 2,Bacteroidetes Prevotella,0.012607571625880937
JK.Day2.icex1d,Subject 2,Firmicutes Gemellaceae,6.020469596628537e-4
JK.Day2.icex1d,Subject 2,Firmicutes Granulicatella,0.04207245812232178
JK.Day2.icex1d,Subject 2,Firmicutes Streptococcus,0.4448064596097319
JK.Day2.icex1d,Subject 2,Firmicutes Veillonella,0.06101923008818217
JK.Day2.icex1d,Subject 2,Fusobacteria Fusobacterium,6.020469596628537e-4
JK.Day2.icex1d,Subject 2,Fusobacteria Leptotrichia,0.004533059460990898
JK.Day2.icex1d,Subject 2,Proteobacteria Haemophilus,0.09416722739667811
JK.Day2.icex1d,Subject 2,Proteobacteria Neisseria,0
JK.Day2.icex1d,Subject 2,Other,0.02082374189892694
JK.Day2.icex2d,Subject 2,Actinobacteria Actinomyces,0.023458691852474237
JK.Day2.icex2d,Subject 2,Actinobacteria Rothia,0.23550493498680028
JK.Day2.icex2d,Subject 2,Bacteroidetes Porphyromonas,3.630573578760107e-5
JK.Day2.icex2d,Subject 2,Bacteroidetes Prevotella,0.0130959975519561
JK.Day2.icex2d,Subject 2,Firmicutes Gemellaceae,4.6160149787092793e-4
JK.Day2.icex2d,Subject 2,Firmicutes Granulicatella,0.04815696525541085
JK.Day2.icex2d,Subject 2,Firmicutes Streptococcus,0.5618675670489142
JK.Day2.icex2d,Subject 2,Firmicutes Veillonella,0.04041865699896788
